anno;numero;data;oggetto;link
2004;2028;12.08.2004;Pulizia di fondo della sede stradale in varie vie;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2028
2004;2027;12.08.2004;Pulizia di fondo della sede stradale in varie vie;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2027
2004;2470;12.10.2004;Pulizia di fondo della sede stradale in Piazza della Vittoria;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2470
2004;2469;12.10.2004;Pulizia di fondo della sede stradale in varie Vie;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2469
2004;2466;12.10.2004;Pulizia di fondo della sede stradale in varie Vie;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2466
2004;2462;12.10.2004;Pulizia di fondo della sede stradale in varie Vie;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2462
2004;3209;14.01.2005;Divieto di sosta in varie vie per pulizia di fondo della sede stradale;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=3209
2004;3208;14.01.2005;Divieto di sosta in varie vie per pulizia di fondo della sede stradale;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=3208
2004;3206;14.01.2005;Divieto di sosta in varie vie per pulizia di fondo della sede stradale;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=3206
2004;3205;14.01.2005;Divieto di sosta in varie vie per pulizia di fondo della sede stradale;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=3205
2004;2461;14.10.2004;Pulizia di fondo della sede stradale in varie Vie;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2461
2004;2457;14.10.2004;Pulizia di fondo della sede stradale in varie Vie;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2457
2004;2270;15.09.2004;Modifica viabilità in via E.Morante;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2270
2004;2262;15.09.2004;Regolazione nuova viabilità in via A.Papi;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2262
2004;2241;15.09.2004;Pulizia di fondo della sede stradale in varie vie per periodi differenziati;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2241
2004;2238;15.09.2004;Pulizia di fondo della sede stradale in varie vie per periodi differenziati;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2238
2004;2237;15.09.2004;Pulizia di fondo della sede stradale in via Caduti Senza Croce;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2237
2004;2858;15.11.2004;Divieto di sosta in Via Giuseppe Verdi per collocazione dissuasori;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2858
2004;2056;16.08.2004;Limitazione della circolazione veicolare in via di Gonfienti area interporto;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2056
2004;2303;17.09.2004;Disciplina di Rotatoria via Paronese;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2303
2004;3151;17.12.2004;Divieto di sosta in varie vie  per pulizia di fondo della sede stradale;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=3151
2004;3150;17.12.2004;Divieto di sosta in via Genova per pulizia di fondo della sede stradale;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=3150
2004;3175;18.12.2004;Nuova viabilità in via A.Banti;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=3175
2004;3174;18.12.2004;Nuova viabilità in via N.Ginzburg;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=3174
2004;1878;19.07.2004;Istallazione di dissuasori alla sosta in varie Vie;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=1878
2004;2465;19.10.2004;Pulizia di fondo della sede stradale in varie Vie;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2465
2004;1909;20.07.2004;Istituzione di parcheggi a pagamento con parcometro in varie vie;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=1909
2004;3186;20.12.2004;Nuova viabilità in via Walter Tobagi;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=3186
2004;3177;20.12.2004;Nuova Viabilità in via G.Rossa;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=3177
2004;3213;21.01.2005;Divieto di sosta in varie vie per pulizia di fondo della sede stradale;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=3213
2004;3212;21.01.2005;Divieto di sosta in varie vie per pulizia di fondo della sede stradale;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=3212
2004;3211;21.01.2005;Divieto di sosta in via A.Kuliscioff per pulizia di fondo della sede stradale;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=3211
2004;2456;21.10.2004;Pulizia di fondo della sede stradale in varie Vie;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2456
2004;2240;22.09.2004;Pulizia di fondo della sede stradale in varie vie per periodi differenziati;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2240
2004;2239;22.09.2004;Pulizia di fondo della sede stradale in varie vie per periodi differenziati;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2239
2004;2454;22.10.2004;Pulizia di fondo della sede stradale in varie Vie;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2454
2004;2451;22.10.2004;Pulizia di fondo della sede stradale in varie Vie;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2451
2004;2450;22.10.2004;Pulizia di fondo della sede stradale in varie Vie;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2450
2004;2920;22.11.2004;"Apertura parcheggio posto tra via Pomeria e via del Romito denominato Piazzale ""Generale Giuseppe Castellano""";https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2920
